stationId,n_rows,raw_valid,raw_mean,qc_any,qc_zero_or_negative,qc_too_high,qc_flatline,qc_stuck_low,qc_pct,station,region
28602897318711027016899843809,25259,17893,6.6170991113843405,6347,100,0,6145,5253,0.25127677263549625,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29996239538320865599553202177,24614,21029,10.918249736078748,2286,0,0,270,2274,0.09287397416104656,Tây Ninh Thị xã Trảng Bàng (KK),South
29203727697074312726675247132,23087,21093,15.481662930830135,2089,0,0,581,2058,0.09048382206436523,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North
29544533341424688633522251105,21849,17840,10.921696300448431,1713,0,0,896,1657,0.07840175751750653,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central
28599103930259709512833128161,9030,9022,6.853018377299933,1055,0,0,447,1040,0.1168327796234773,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North
29518872592252585279589451187,23874,16394,9.491027589361963,1505,0,0,927,836,0.06303928960375303,Quảng Ninh Km11 - Minh Thành (KK),North
30991938797551443885460120607,23642,12613,6.707131364465234,2385,472,0,1739,500,0.10087979020387446,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South
29518839738601389925132404147,25373,17297,6.955009510319708,1147,0,0,731,476,0.045205533441059396,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North
29518885338952740244749551027,25245,15122,9.23928641714059,285,6,0,103,216,0.0112893642305407,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North
31616865099255512061948816121,16221,13256,6.241135161436331,1842,1602,0,201,210,0.11355650083225448,Đà Nẵng Phạm Hùng (KK),Unknown
29518852005686198968139908531,24630,14579,7.6181433363056446,729,0,0,727,163,0.029598051157125455,Quảng Ninh Gần KCN Cái Lân (KK),North
29098314940209976158571475636,27872,27858,9.128566526670975,3171,0,0,3171,0,0.11377009184845006,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South
29098319146067624969113973428,22466,16496,5.7201130698351115,229,0,0,229,0,0.010193180806552123,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South
28602837126985114455002404577,25118,16539,10.639741622830885,26,0,0,26,0,0.0010351142606895454,Quảng Ninh UBND TP Uông Bí (KK),North
31390912357075263208060500522,19971,19860,21.341815040281972,8,2,0,6,0,0.00040058084222122076,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South
29196010501691076420299004774,13092,12513,23.44052940142252,5,0,0,5,0,0.0003819126183929117,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North
31570631866920915749872483233,13157,9692,12.070565290961618,5,0,0,5,0,0.00038002584175723947,Bình Định huyện Tuy Phước (KK),Central
31390944251495766704153049642,20624,19205,19.865995673001823,191,191,0,0,0,0.009261055081458495,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central
31390916083317566102523755051,19274,19156,22.571517936938818,23,23,0,0,0,0.0011933174224343676,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South
31390908889087377344742439468,19538,19443,36.93636223833771,22,22,0,0,0,0.0011260108506500153,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North
31388836637198369136462150188,19863,19595,18.469861653483033,9,9,0,0,0,0.00045310376076121433,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central
31388883344354363840031242796,19785,19743,39.17971735298587,9,9,0,0,0,0.0004548900682335102,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North
31390957404024291365397346858,20122,19607,37.18550231039934,3,3,0,0,0,0.0001490905476592784,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North
31388868531618872623864101418,20654,19834,37.623900957950994,2,2,0,0,0,9.683354313934346e-05,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North
31390903576425084107499649578,20272,19837,46.77536902757473,2,2,0,0,0,9.865824782951855e-05,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North
31390951371938979254287350314,20193,18801,27.409520849954788,2,2,0,0,0,9.90442232456792e-05,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central
31388851800421997746903202346,20259,19931,23.596955777432143,1,1,0,0,0,4.936077792586011e-05,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central
31390921469766835629621918251,20320,19022,43.18943357691094,1,1,0,0,0,4.921259842519685e-05,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North
31390928700890512538630765099,20254,18977,18.082156463086893,1,1,0,0,0,4.937296336526118e-05,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central
28505268571336961948594948504,28030,26296,27.09912530042592,0,0,0,0,0,0.0,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North
28505272740301122608933325208,24334,22113,13.191629068873512,0,0,0,0,0,0.0,Đà Nẵng 41 đường Lê Duẩn (KK),Central
28560877461938780203765592307,28008,27159,48.53746936926986,0,0,0,0,0,0.0,Hà Nội 556 Nguyễn Văn Cừ (KK),North
28916504310234840885489983032,19848,19801,27.949561688803595,0,0,0,0,0,0.0,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North
28916774462801800655608897080,18994,13609,52.19140205011389,0,0,0,0,0,0.0,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North
29196021237696127337075448678,17578,17547,25.404040137915313,0,0,0,0,0,0.0,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North
31388839920718814259329251882,19535,19488,24.216021315681445,0,0,0,0,0,0.0,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South
31390932574706768021562473002,20092,19979,21.171073797487363,0,0,0,0,0,0.0,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South
31390939012620449761949792810,20215,14295,15.490996789087093,0,0,0,0,0,0.0,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central
31390965631272148257054013994,20389,20164,14.669084928585598,0,0,0,0,0,0.0,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South
31651502905690497791503780869,16503,14937,55.214377840262436,0,0,0,0,0,0.0,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North
